Date,Price,Open,High,Low,Vol.,Change %
17-Apr-18,7889.90,"8,056.10","8,169.00","7,823.30",28.23K,-2.06%
18-Apr-18,8166.30,"7,888.80","8,229.00","7,874.70",29.54K,3.50%
19-Apr-18,8272.80,"8,166.40","8,296.80","8,099.90",29.21K,1.30%
20-Apr-18,8866.10,"8,272.80","8,937.50","8,219.00",50.90K,7.17%
21-Apr-18,8919.10,"8,865.40","9,029.00","8,618.90",39.56K,0.60%
22-Apr-18,8800.00,"8,917.60","8,979.80","8,752.90",31.43K,-1.34%
23-Apr-18,8940.00,"8,791.40","8,940.00","8,769.90",23.26K,1.59%
24-Apr-18,9644.40,"8,940.20","9,737.90","8,929.90",60.35K,7.88%
25-Apr-18,8878.40,"9,643.00","9,761.50","8,768.40",74.49K,-7.94%
26-Apr-18,9279.30,"8,850.10","9,308.00","8,656.00",43.21K,4.52%
27-Apr-18,8920.10,"9,269.70","9,381.10","8,902.80",30.15K,-3.87%
28-Apr-18,9345.30,"8,911.00","9,436.00","8,845.00",45.08K,4.77%
29-Apr-18,9398.60,"9,340.30","9,564.10","9,184.60",27.31K,0.57%
30-Apr-18,9240.00,"9,400.00","9,450.00","9,110.70",23.26K,-1.69%
1-May-18,9067.00,"9,240.70","9,240.70","8,829.10",25.59K,-1.87%
2-May-18,9236.40,"9,069.10","9,279.80","8,979.60",20.18K,1.87%
3-May-18,9762.10,"9,237.90","9,838.00","9,162.80",36.48K,5.69%
4-May-18,9702.80,"9,759.00","9,811.90","9,557.00",24.54K,-0.61%
5-May-18,9859.60,"9,702.90","9,990.00","9,685.90",29.51K,1.62%
6-May-18,9658.70,"9,859.60","9,963.90","9,455.00",26.92K,-2.04%
7-May-18,9370.00,"9,659.00","9,675.70","9,200.00",25.78K,-2.99%
8-May-18,9184.70,"9,356.40","9,469.70","9,052.30",25.86K,-1.98%
9-May-18,9318.20,"9,180.70","9,370.90","8,980.10",22.81K,1.45%
10-May-18,9018.70,"9,320.00","9,390.00","9,003.00",23.62K,-3.21%
11-May-18,8412.40,"9,015.20","9,015.20","8,341.80",54.49K,-6.72%
12-May-18,8462.70,"8,419.50","8,631.60","8,204.50",36.66K,0.60%
13-May-18,8683.60,"8,467.00","8,753.00","8,320.00",22.90K,2.61%
14-May-18,8670.80,"8,683.80","8,882.40","8,279.50",37.15K,-0.15%
15-May-18,8467.50,"8,668.50","8,838.00","8,420.70",26.21K,-2.34%
16-May-18,8336.10,"8,467.00","8,488.70","8,103.60",32.76K,-1.55%
17-May-18,8051.80,"8,349.70","8,466.90","7,986.80",25.19K,-3.41%
