Date,Price,Open,High,Low,Vol.,Change %
17-Dec-16,0.00649,0.00669,0.00669,0.00645,407.65K,-3.05%
18-Dec-16,0.0065,0.00649,0.00666,0.00645,129.83K,0.15%
19-Dec-16,0.00645,0.0065,0.00662,0.00645,165.79K,-0.77%
20-Dec-16,0.00654,0.00645,0.00661,0.00638,279.86K,1.36%
21-Dec-16,0.00656,0.00654,0.00658,0.00627,655.98K,0.32%
22-Dec-16,0.00638,0.00656,0.00656,0.0061,959.87K,-2.79%
23-Dec-16,0.00609,0.00638,0.00655,0.00596,659.00K,-4.55%
24-Dec-16,0.00644,0.00609,0.00646,0.00603,354.70K,5.78%
25-Dec-16,0.00631,0.00644,0.00655,0.00631,590.80K,-1.99%
26-Dec-16,0.00625,0.00631,0.00662,0.00614,387.53K,-0.95%
27-Dec-16,0.00613,0.00625,0.00644,0.00605,652.68K,-1.84%
28-Dec-16,0.00624,0.00613,0.0063,0.0061,365.22K,1.76%
29-Dec-16,0.00647,0.00624,0.00686,0.00617,669.09K,3.70%
30-Dec-16,0.00642,0.00647,0.0066,0.00634,358.87K,-0.91%
31-Dec-16,0.00651,0.00642,0.00674,0.00621,363.96K,1.50%
1-Jan-17,0.00635,0.00651,0.0066,0.00626,259.80K,-2.53%
2-Jan-17,0.00631,0.00635,0.00642,0.00621,703.77K,-0.54%
3-Jan-17,0.00641,0.00631,0.00657,0.00622,1.93M,1.57%
4-Jan-17,0.00641,0.00641,0.00684,0.00637,1.01M,0.00%
5-Jan-17,0.00628,0.00641,0.00689,0.00565,9.86M,-2.09%
6-Jan-17,0.00622,0.00628,0.0065,0.00599,3.35M,-0.86%
7-Jan-17,0.00636,0.00622,0.00646,0.00605,1.07M,2.27%
8-Jan-17,0.00625,0.00636,0.00646,0.00624,920.87K,-1.76%
9-Jan-17,0.00618,0.00625,0.00634,0.00612,726.75K,-1.20%
10-Jan-17,0.00681,0.00618,0.00714,0.00618,4.73M,10.35%
11-Jan-17,0.00654,0.00681,0.0069,0.00625,5.18M,-3.99%
12-Jan-17,0.00636,0.00654,0.00709,0.0063,3.66M,-2.81%
13-Jan-17,0.00667,0.00636,0.00671,0.0063,1.23M,4.87%
14-Jan-17,0.00679,0.00667,0.007,0.00659,1.13M,1.89%
15-Jan-17,0.00681,0.00679,0.00691,0.0067,677.16K,0.22%
16-Jan-17,0.00678,0.00681,0.00689,0.0067,487.95K,-0.44%
17-Jan-17,0.00683,0.0071,0.0071,0.00668,7.06M,0.74%
18-Jan-17,0.0068,0.00683,0.00719,0.00664,8.93M,-0.44%
19-Jan-17,0.00684,0.0068,0.00688,0.0065,4.15M,0.59%
20-Jan-17,0.0066,0.00684,0.00685,0.0064,4.07M,-3.51%
21-Jan-17,0.00684,0.0066,0.00684,0.00652,3.46M,3.64%
22-Jan-17,0.00678,0.00684,0.00683,0.00669,1.01M,-0.88%
23-Jan-17,0.00669,0.00678,0.00682,0.00659,1.98M,-1.33%
24-Jan-17,0.0065,0.00669,0.00674,0.0065,1.88M,-2.84%
25-Jan-17,0.00649,0.0065,0.0065,0.00643,2.07M,-0.15%
26-Jan-17,0.0063,0.00649,0.00676,0.00616,6.17M,-2.93%
27-Jan-17,0.00636,0.0063,0.0065,0.003,2.11M,0.95%
28-Jan-17,0.00639,0.00636,0.0064,0.0063,921.00K,0.47%
29-Jan-17,0.00631,0.00639,0.00637,0.00631,730.11K,-1.25%
30-Jan-17,0.00645,0.00631,0.0065,0.00635,1.00M,2.22%
31-Jan-17,0.00641,0.00645,0.0065,0.00618,3.95M,-0.62%
1-Feb-17,0.00649,0.00641,0.0066,0.00623,6.11M,1.25%
2-Feb-17,0.0064,0.00649,0.00661,0.0064,3.01M,-1.39%
3-Feb-17,0.00638,0.0064,0.00649,0.00624,2.96M,-0.31%
4-Feb-17,0.00644,0.00638,0.00647,0.00635,1.06M,0.94%
5-Feb-17,0.00629,0.00644,0.00648,0.00628,1.80M,-2.33%
6-Feb-17,0.00638,0.00629,0.00644,0.00627,879.68K,1.43%
7-Feb-17,0.00641,0.00638,0.00647,0.00626,2.97M,0.47%
8-Feb-17,0.00635,0.00641,0.00648,0.00608,5.77M,-0.94%
9-Feb-17,0.00628,0.00635,0.00643,0.00609,7.51M,-1.10%
10-Feb-17,0.00631,0.00628,0.00635,0.00595,5.93M,0.48%
11-Feb-17,0.00638,0.00631,0.0064,0.00627,1.44M,1.11%
12-Feb-17,0.00627,0.00638,0.0064,0.00627,648.46K,-1.72%
13-Feb-17,0.00624,0.00627,0.00635,0.0062,5.04M,-0.48%
14-Feb-17,0.00622,0.00624,0.00638,0.00621,4.68M,-0.32%
15-Feb-17,0.0061,0.00622,0.00627,0.0058,15.18M,-1.93%
16-Feb-17,0.00593,0.0061,0.00636,0.005,34.57M,-2.79%
